image_path,group,group_source,label,meaning,class_id
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414c\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.414c,,18
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414d\1.png,chỉ dẫn,Information Signs,I.414d,,19
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414d\1_shear_5deg.png,chỉ dẫn,Information Signs,I.414d,,19
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.414d\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.414d,,19
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.415\1.png,chỉ dẫn,Information Signs,I.415,,20
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.415\1_shear_5deg.png,chỉ dẫn,Information Signs,I.415,,20
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.415\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.415,,20
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.416\1.png,chỉ dẫn,Information Signs,I.416,,21
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.416\1_shear_5deg.png,chỉ dẫn,Information Signs,I.416,,21
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.416\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.416,,21
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.417a\1.png,chỉ dẫn,Information Signs,I.417a,,22
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.417a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.417a,,22
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.417a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.417a,,22
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.417b\1.png,chỉ dẫn,Information Signs,I.417b,,23
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.417b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.417b,,23
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.417b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.417b,,23
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.417c\1.png,chỉ dẫn,Information Signs,I.417c,,24
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.417c\1_shear_5deg.png,chỉ dẫn,Information Signs,I.417c,,24
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.417c\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.417c,,24
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.418\1.png,chỉ dẫn,Information Signs,I.418,,25
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.418\1_shear_5deg.png,chỉ dẫn,Information Signs,I.418,,25
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.418\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.418,,25
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.419a\1.png,chỉ dẫn,Information Signs,I.419a,,26
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.419a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.419a,,26
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.419a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.419a,,26
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.419b\1.png,chỉ dẫn,Information Signs,I.419b,,27
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.419b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.419b,,27
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.419b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.419b,,27
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.422a\1.png,chỉ dẫn,Information Signs,I.422a,,28
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.422a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.422a,,28
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.422a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.422a,,28
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.422b\1.png,chỉ dẫn,Information Signs,I.422b,,29
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.422b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.422b,,29
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.422b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.422b,,29
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.423a\1.png,chỉ dẫn,Information Signs,I.423a,,30
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.423a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.423a,,30
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.423a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.423a,,30
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.423b\1.png,chỉ dẫn,Information Signs,I.423b,,31
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.423b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.423b,,31
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.423b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.423b,,31
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.423c\1.png,chỉ dẫn,Information Signs,I.423c,,32
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.423c\1_shear_5deg.png,chỉ dẫn,Information Signs,I.423c,,32
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.423c\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.423c,,32
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424a\1.png,chỉ dẫn,Information Signs,I.424a,,33
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.424a,,33
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.424a,,33
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424b\1.png,chỉ dẫn,Information Signs,I.424b,,34
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.424b,,34
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.424b,,34
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424c\1.png,chỉ dẫn,Information Signs,I.424c,,35
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424c\1_shear_5deg.png,chỉ dẫn,Information Signs,I.424c,,35
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424c\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.424c,,35
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424d\1.png,chỉ dẫn,Information Signs,I.424d,,36
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424d\1_shear_5deg.png,chỉ dẫn,Information Signs,I.424d,,36
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.424d\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.424d,,36
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.425\1.png,chỉ dẫn,Information Signs,I.425,,37
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.425\1_shear_5deg.png,chỉ dẫn,Information Signs,I.425,,37
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.425\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.425,,37
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.426\1.png,chỉ dẫn,Information Signs,I.426,,38
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.426\1_shear_5deg.png,chỉ dẫn,Information Signs,I.426,,38
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.426\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.426,,38
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.427a\1.png,chỉ dẫn,Information Signs,I.427a,,39
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.427a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.427a,,39
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.427a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.427a,,39
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.427b\1.png,chỉ dẫn,Information Signs,I.427b,,40
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.427b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.427b,,40
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.427b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.427b,,40
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.428a\1.png,chỉ dẫn,Information Signs,I.428a,,41
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.428a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.428a,,41
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.428a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.428a,,41
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.429\1.png,chỉ dẫn,Information Signs,I.429,,44
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.429\1_shear_5deg.png,chỉ dẫn,Information Signs,I.429,,44
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.429\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.429,,44
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.430\1.png,chỉ dẫn,Information Signs,I.430,,45
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.430\1_shear_5deg.png,chỉ dẫn,Information Signs,I.430,,45
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.430\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.430,,45
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.431\1.png,chỉ dẫn,Information Signs,I.431,,46
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.431\1_shear_5deg.png,chỉ dẫn,Information Signs,I.431,,46
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.431\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.431,,46
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.432\1.png,chỉ dẫn,Information Signs,I.432,,47
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.432\1_shear_5deg.png,chỉ dẫn,Information Signs,I.432,,47
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.432\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.432,,47
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433a\1.png,chỉ dẫn,Information Signs,I.433a,,48
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.433a,,48
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.433a,,48
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433b\1.png,chỉ dẫn,Information Signs,I.433b,,49
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.433b,,49
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.433b,,49
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433c\1.png,chỉ dẫn,Information Signs,I.433c,,50
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433c\1_shear_5deg.png,chỉ dẫn,Information Signs,I.433c,,50
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433c\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.433c,,50
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433d\1.png,chỉ dẫn,Information Signs,I.433d,,51
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433d\1_shear_5deg.png,chỉ dẫn,Information Signs,I.433d,,51
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433d\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.433d,,51
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433e\1.png,chỉ dẫn,Information Signs,I.433e,,52
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433e\1_shear_5deg.png,chỉ dẫn,Information Signs,I.433e,,52
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.433e\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.433e,,52
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.434a\1.png,chỉ dẫn,Information Signs,I.434a,,53
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.434a\1_shear_5deg.png,chỉ dẫn,Information Signs,I.434a,,53
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.434a\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.434a,,53
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.434b\1.png,chỉ dẫn,Information Signs,I.434b,,54
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.434b\1_shear_5deg.png,chỉ dẫn,Information Signs,I.434b,,54
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.434b\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.434b,,54
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.435\1.png,chỉ dẫn,Information Signs,I.435,,55
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.435\1_shear_5deg.png,chỉ dẫn,Information Signs,I.435,,55
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.435\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.435,,55
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.436\1.png,chỉ dẫn,Information Signs,I.436,,56
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.436\1_shear_5deg.png,chỉ dẫn,Information Signs,I.436,,56
F:\25-26 kì 2\chuyên đề thầy Thành\TrafficSignsProject\dataset_aug\Information Signs\I.436\1_shear_m5deg.png,chỉ dẫn,Information Signs,I.436,,56
